Year,Country,CountryCode,ParentCountry,ParentCountryCode,Sex,SexCode,AgeGroup,AgeGroupCode,SuicideRate
2019,Latvia,LVA,Europe,EUR,Male,MLE,55-64 years,YEARS55-64,51.2
2019,Namibia,NAM,Africa,AFR,Male,MLE,55-64 years,YEARS55-64,51.22
2019,Madagascar,MDG,Africa,AFR,Female,FMLE,85+ years,YEARS85PLUS,51.23
2019,Liberia,LBR,Africa,AFR,Male,MLE,75-84 years,YEARS75-84,51.3
2019,Switzerland,CHE,Europe,EUR,Male,MLE,75-84 years,YEARS75-84,51.33
2019,Ukraine,UKR,Europe,EUR,Male,MLE,65-74 years,YEARS65-74,51.44
2019,Zimbabwe,ZWE,Africa,AFR,Both sexes,BTSX,55-64 years,YEARS55-64,51.49
2019,Central African Republic,CAF,Africa,AFR,Both sexes,BTSX,45-54 years,YEARS45-54,51.55
2019,DR Congo,COD,Africa,AFR,Male,MLE,55-64 years,YEARS55-64,51.65
2019,Eswatini,SWZ,Africa,AFR,Both sexes,BTSX,65-74 years,YEARS65-74,51.68
2019,Lesotho,LSO,Africa,AFR,Female,FMLE,75-84 years,YEARS75-84,51.74
2019,Rwanda,RWA,Africa,AFR,Both sexes,BTSX,75-84 years,YEARS75-84,51.86
2019,Niger,NER,Africa,AFR,Both sexes,BTSX,75-84 years,YEARS75-84,51.89
2019,Gabon,GAB,Africa,AFR,Both sexes,BTSX,65-74 years,YEARS65-74,51.9
2019,Niger,NER,Africa,AFR,Male,MLE,65-74 years,YEARS65-74,51.93
2019,Guyana,GUY,Americas,AMR,Both sexes,BTSX,65-74 years,YEARS65-74,51.99
2019,Cote d'Ivoire,CIV,Africa,AFR,Male,MLE,85+ years,YEARS85PLUS,518.2
2019,Moldova,MDA,Europe,EUR,Male,MLE,55-64 years,YEARS55-64,52.06
2019,Guyana,GUY,Americas,AMR,Both sexes,BTSX,15-24 years,YEARS15-24,52.21
2019,Sierra Leone,SLE,Africa,AFR,Male,MLE,65-74 years,YEARS65-74,52.25
2019,Eswatini,SWZ,Africa,AFR,Both sexes,BTSX,75-84 years,YEARS75-84,52.31
2019,Kiribati,KIR,Western Pacific,WPR,Both sexes,BTSX,15-24 years,YEARS15-24,52.39
2019,Montenegro,MNE,Europe,EUR,Both sexes,BTSX,75-84 years,YEARS75-84,52.4
2019,Angola,AGO,Africa,AFR,Male,MLE,55-64 years,YEARS55-64,52.44
2019,Lithuania,LTU,Europe,EUR,Male,MLE,35-44 years,YEARS35-44,52.52
2019,Uruguay,URY,Americas,AMR,Male,MLE,65-74 years,YEARS65-74,52.63
2019,Kyrgyz Republic,KGZ,Europe,EUR,Male,MLE,85+ years,YEARS85PLUS,52.76
2019,South Sudan,SSD,Africa,AFR,Female,FMLE,85+ years,YEARS85PLUS,52.96
2019,Slovenia,SVN,Europe,EUR,Male,MLE,65-74 years,YEARS65-74,53.11
2019,Togo,TGO,Africa,AFR,Male,MLE,55-64 years,YEARS55-64,53.3
2019,Russia,RUS,Europe,EUR,Male,MLE,55-64 years,YEARS55-64,53.36
2019,Zimbabwe,ZWE,Africa,AFR,Female,FMLE,75-84 years,YEARS75-84,53.36
2019,Djibouti,DJI,Eastern Mediterranean,EMR,Male,MLE,65-74 years,YEARS65-74,53.43
2019,Latvia,LVA,Europe,EUR,Male,MLE,45-54 years,YEARS45-54,53.52
2019,Kazakhstan,KAZ,Europe,EUR,Male,MLE,35-44 years,YEARS35-44,53.54
2019,Guinea,GIN,Africa,AFR,Both sexes,BTSX,75-84 years,YEARS75-84,53.58
2019,Mongolia,MNG,Western Pacific,WPR,Male,MLE,35-44 years,YEARS35-44,53.58
2019,Kiribati,KIR,Western Pacific,WPR,Both sexes,BTSX,25-34 years,YEARS25-34,53.62
2019,Gambia,GMB,Africa,AFR,Male,MLE,65-74 years,YEARS65-74,53.68
2019,Guyana,GUY,Americas,AMR,Both sexes,BTSX,45-54 years,YEARS45-54,53.68
2019,Namibia,NAM,Africa,AFR,Male,MLE,65-74 years,YEARS65-74,53.72
