CountryCode,country-code,iso_3166-2,region-code,sub-region-code,F1,CountryName,region,sub-region,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
LUX,442,ISO 3166-2:LU,150,155,114,Luxembourg,Europe,Western Europe,Women,,,76,1.88,63,71.5,0.5,,,,1.9,85.4,6.8,1.99,,92,,67,,484,,,83,15.2
LUX,442,ISO 3166-2:LU,150,155,113,Luxembourg,Europe,Western Europe,Total,12,0.5,77,3.82,66,75.8,0.6,39264,769053,21,1.7,82.8,6.9,2.35,63062,93,1.9,69,1.7,483,,91,84,15.1
LUX,442,ISO 3166-2:LU,150,155,112,Luxembourg,Europe,Western Europe,Men,,,77,5.52,70,80.3,0.6,,,,1.4,80.1,7,2.69,,94,,72,,483,,,85,15
LUX,442,ISO 3166-2:LU,150,155,111,Luxembourg,Europe,Western Europe,Low,,,,,,,,,,,1.59,,,,,,,65,,428,,,,
LUX,442,ISO 3166-2:LU,150,155,110,Luxembourg,Europe,Western Europe,High,,,,,,,,,,,2.02,,,,,,,74,,549,,,,
MEX,484,ISO 3166-2:MX,19,13,119,Mexico,Americas,Central America,Women,,,37,17.61,45,38.3,3.9,,,,5.5,77.9,6.5,0.07,,83,,64,,416,,,68,15.3
MEX,484,ISO 3166-2:MX,19,13,118,Mexico,Americas,Central America,Total,16,25.5,38,28.7,61,41.8,18.1,,,20,5.5,75.4,6.5,0.07,15314,81,1,66,3.2,416,,63,68,15.2
MEX,484,ISO 3166-2:MX,19,13,117,Mexico,Americas,Central America,Men,,,38,35.53,79,45.8,33.9,,,,5.5,72.9,6.4,0.06,,79,,67,,416,,,67,15
MEX,484,ISO 3166-2:MX,19,13,116,Mexico,Americas,Central America,Low,,,,,,,,,,,4.22,,,,,78,,,,385,,,,
MEX,484,ISO 3166-2:MX,19,13,115,Mexico,Americas,Central America,High,,,,,,,,,,,6.26,,,,,87,,,,447,,,,
NLD,528,ISO 3166-2:NL,150,155,124,Netherlands,Europe,Western Europe,Women,,,78,0.09,71,72.8,0.4,,,,4.7,83.2,7.5,2.15,,90,,73,,511,,,92,18.7
NLD,528,ISO 3166-2:NL,150,155,123,Netherlands,Europe,Western Europe,Total,14,0.1,78,0.42,76,82,0.6,29333,157824,19,4.8,81.6,7.4,1.97,52877,91,1.9,76,2.6,508,,82,93,18.7
NLD,528,ISO 3166-2:NL,150,155,122,Netherlands,Europe,Western Europe,Men,,,79,0.73,80,91.4,0.8,,,,4.9,80,7.4,1.81,,92,,79,,505,,,94,18.6
NLD,528,ISO 3166-2:NL,150,155,121,Netherlands,Europe,Western Europe,Low,,,,,,,,,,,7.18,,,,,,,65,,468,,,,
NLD,528,ISO 3166-2:NL,150,155,120,Netherlands,Europe,Western Europe,High,,,,,,,,,,,3.07,,7.7,,,,,86,,556,,,,
NZL,554,ISO 3166-2:NZ,9,53,129,New Zealand,Oceania,Australia and New Zealand,Women,,,79,8.63,72,51.8,0.7,,,,,83.4,7.4,0.75,,96,,88,,509,14.95,,87,18.2
NZL,554,ISO 3166-2:NZ,9,53,128,New Zealand,Oceania,Australia and New Zealand,Total,5,,79,15.11,77,65.7,1.3,,388514,26,4.7,81.7,7.3,0.74,40043,96,2.4,88,2.5,506,14.87,80,89,17.7
NZL,554,ISO 3166-2:NZ,9,53,127,New Zealand,Oceania,Australia and New Zealand,Men,,,78,21.37,82,81.3,1.9,,,,,80,7.2,0.72,,95,,88,,503,14.83,,91,17.2
NZL,554,ISO 3166-2:NZ,9,53,126,New Zealand,Oceania,Australia and New Zealand,Low,,,,,,,,,,,,,,,,,,,,459,,,,
NZL,554,ISO 3166-2:NZ,9,53,125,New Zealand,Oceania,Australia and New Zealand,High,,,,,,,,,,,,,,,,98,,93,,554,,,,
NOR,578,ISO 3166-2:NO,150,154,134,Norway,Europe,Northern Europe,Women,,,83,1.34,72,83.5,0.5,,,,,84.2,7.6,0.51,,94,,75,,511,15.65,,97,18.8
NOR,578,ISO 3166-2:NO,150,154,133,Norway,Europe,Northern Europe,Total,5,0,82,2.93,74,90.1,0.4,35725,228936,17,,82.5,7.6,0.66,51212,94,2.1,77,2.2,504,15.56,78,98,18.3
NOR,578,ISO 3166-2:NO,150,154,132,Norway,Europe,Northern Europe,Men,,,81,4.39,76,96.5,0.3,,,,,80.7,7.6,0.8,,95,,79,,498,15.48,,98,17.9
NOR,578,ISO 3166-2:NO,150,154,131,Norway,Europe,Northern Europe,Low,,,,,,,,,,,,,7.5,,,91,,69,,472,,,,
